pedido_id,data_pedido,estado_cliente,categoria_produto,valor_pedido,prazo_prometido_dias,tempo_entrega_real_dias,atrasado,nota_avaliacao
108,2026-02-15,RJ,Casa e Decoração,544.06,10,10,False,4
109,2026-02-25,SP,Esporte e Lazer,780.73,8,7,False,4
110,2026-01-03,SC,Livros,70.33,13,18,True,2
111,2026-05-07,MG,Móveis,118.38,10,8,False,5
112,2026-02-11,RJ,Casa e Decoração,645.0,10,9,False,4
113,2026-04-02,RJ,Eletrônicos,371.0,11,10,False,5
114,2026-01-02,RJ,Roupas e Acessórios,667.31,10,9,False,4
115,2026-02-03,SP,Eletrodomésticos,343.53,8,7,False,4
116,2026-05-10,SP,Esporte e Lazer,692.87,9,9,False,4
117,2026-02-20,SP,Eletrônicos,114.47,10,10,False,5
118,2026-06-08,RS,Roupas e Acessórios,712.5,13,11,False,5
119,2026-02-16,MG,Eletrônicos,826.41,10,9,False,4
120,2026-02-19,SP,Eletrodomésticos,527.61,10,8,False,4
121,2026-05-21,BA,Casa e Decoração,404.67,14,14,False,5
122,2026-04-23,SP,Eletrônicos,704.27,9,9,False,5
123,2026-02-15,SC,Livros,690.84,11,18,True,1
124,2026-05-10,MG,Eletrônicos,456.74,9,15,True,2
125,2026-01-14,PR,Livros,634.33,12,12,False,5
126,2026-01-29,SP,Brinquedos,223.01,9,9,False,5
127,2026-03-31,MG,Casa e Decoração,249.6,10,9,False,5
128,2026-05-03,SP,Casa e Decoração,174.79,9,8,False,4
129,2026-03-13,RS,Livros,735.92,12,12,False,4
130,2026-04-26,MG,Papelaria,362.38,11,10,False,5
131,2026-04-06,SP,Esporte e Lazer,643.59,9,9,False,4
132,2026-01-13,SP,Eletrodomésticos,635.1,9,7,False,5
133,2026-01-09,SP,Casa e Decoração,438.16,9,7,False,4
134,2026-06-06,RS,Eletrônicos,225.53,12,11,False,4
135,2026-05-30,SP,Roupas e Acessórios,690.21,8,7,False,4
136,2026-02-08,RJ,Móveis,54.25,10,9,False,4
137,2026-06-15,BA,Esporte e Lazer,245.04,14,12,False,5
138,2026-01-01,SP,Eletrodomésticos,54.94,8,8,False,4
139,2026-05-22,RS,Beleza e Cuidados Pessoais,185.58,12,19,True,1
140,2026-03-21,SP,Eletrônicos,724.77,10,9,False,4
141,2026-04-30,SP,Brinquedos,315.09,8,7,False,4
142,2026-06-27,PE,Casa e Decoração,783.41,16,23,True,1
143,2026-03-09,SP,Beleza e Cuidados Pessoais,643.82,8,8,False,4
144,2026-02-10,PR,Esporte e Lazer,552.71,11,9,False,5
145,2026-06-27,CE,Eletrodomésticos,814.34,16,14,False,4
146,2026-03-01,MG,Casa e Decoração,161.4,11,9,False,4
147,2026-01-07,SP,Papelaria,156.41,10,10,False,4
148,2026-06-14,RS,Móveis,813.43,13,19,True,1
149,2026-05-17,DF,Móveis,210.61,13,11,False,5
150,2026-01-29,SP,Móveis,682.53,10,9,False,4
151,2026-06-15,SP,Esporte e Lazer,621.19,9,8,False,4
152,2026-04-05,GO,Papelaria,70.15,13,11,False,5
153,2026-05-13,SC,Esporte e Lazer,711.4,12,16,True,3
154,2026-05-28,SC,Roupas e Acessórios,48.51,12,11,False,5
155,2026-05-06,SP,Roupas e Acessórios,273.4,10,8,False,5
156,2026-02-24,GO,Beleza e Cuidados Pessoais,842.85,13,15,True,4
157,2026-05-24,SC,Esporte e Lazer,384.81,12,11,False,5
158,2026-06-15,SP,Beleza e Cuidados Pessoais,756.6,9,7,False,4
159,2026-03-01,PE,Roupas e Acessórios,307.96,15,13,False,4
160,2026-02-09,BA,Brinquedos,252.06,15,15,False,5
161,2026-03-01,SP,Brinquedos,611.05,9,7,False,4
162,2026-06-08,SP,Roupas e Acessórios,309.1,10,8,False,4
163,2026-02-18,SP,Móveis,684.88,8,8,False,5
164,2026-03-18,RJ,Beleza e Cuidados Pessoais,72.31,9,8,False,4
165,2026-04-13,BA,Livros,252.06,15,13,False,4
166,2026-04-14,SP,Beleza e Cuidados Pessoais,726.02,10,8,False,5
167,2026-06-20,PR,Papelaria,254.15,12,10,False,4
168,2026-06-29,SP,Livros,385.98,8,6,False,4
169,2026-04-27,SP,Livros,53.56,9,9,False,5
170,2026-05-06,DF,Móveis,205.85,12,12,False,5
171,2026-03-31,SP,Papelaria,712.33,9,8,False,5
172,2026-05-14,SP,Brinquedos,631.93,8,7,False,5
173,2026-06-07,RJ,Eletrônicos,383.54,9,9,False,4
174,2026-06-28,RS,Papelaria,827.06,13,11,False,5
175,2026-04-11,RJ,Roupas e Acessórios,625.17,9,7,False,4
176,2026-02-07,RJ,Livros,422.87,10,8,False,5
177,2026-02-28,SP,Livros,626.04,9,7,False,4
178,2026-03-13,RJ,Casa e Decoração,336.76,9,7,False,5
179,2026-03-19,BA,Eletrônicos,714.22,13,12,False,4
180,2026-06-12,MG,Eletrônicos,126.72,10,15,True,2
181,2026-02-06,BA,Roupas e Acessórios,475.29,15,15,False,4
182,2026-06-06,DF,Papelaria,602.7,14,19,True,2
183,2026-05-16,SP,Brinquedos,157.17,9,9,False,4
184,2026-05-07,MG,Brinquedos,527.68,10,9,False,4
185,2026-01-02,SP,Esporte e Lazer,387.78,9,7,False,4
186,2026-06-23,SP,Esporte e Lazer,794.85,9,10,True,5
187,2026-03-26,SC,Móveis,548.35,12,12,False,4
188,2026-03-28,SP,Esporte e Lazer,395.33,9,7,False,4
189,2026-04-19,SP,Eletrônicos,263.72,10,9,False,4
190,2026-05-10,SP,Beleza e Cuidados Pessoais,147.69,9,8,False,4
191,2026-06-12,SP,Eletrônicos,286.83,9,8,False,4
192,2026-01-02,SP,Brinquedos,541.44,9,7,False,5
193,2026-06-10,RS,Papelaria,413.59,14,15,True,5
194,2026-02-14,SP,Roupas e Acessórios,341.94,10,10,False,5
195,2026-02-05,SC,Eletrodomésticos,391.69,13,13,False,4
196,2026-06-14,MG,Eletrônicos,605.05,10,10,False,5
197,2026-04-14,RJ,Eletrônicos,377.0,10,8,False,5
198,2026-01-27,SP,Brinquedos,583.84,8,8,False,4
199,2026-01-23,SP,Móveis,644.09,8,12,True,3
200,2026-01-13,RJ,Roupas e Acessórios,795.54,10,18,True,1
201,2026-03-07,GO,Eletrônicos,597.74,13,14,True,5
202,2026-06-08,SP,Casa e Decoração,808.75,9,8,False,4
203,2026-04-23,RJ,Roupas e Acessórios,690.49,9,8,False,5
204,2026-05-03,RJ,Brinquedos,545.59,11,9,False,4
205,2026-06-16,PR,Papelaria,293.42,11,11,False,5
206,2026-04-20,CE,Beleza e Cuidados Pessoais,408.27,16,14,False,5
207,2026-06-26,SP,Casa e Decoração,761.94,9,9,False,4
208,2026-05-27,SP,Eletrodomésticos,435.23,9,8,False,5
209,2026-04-08,SP,Beleza e Cuidados Pessoais,211.3,9,16,True,1
210,2026-03-07,MG,Eletrônicos,95.42,11,11,False,4
211,2026-04-12,MG,Casa e Decoração,216.22,11,10,False,4
212,2026-01-24,SP,Casa e Decoração,243.28,9,8,False,5
213,2026-05-07,RJ,Móveis,322.66,10,10,False,4
214,2026-05-13,MG,Móveis,255.59,9,7,False,5
215,2026-03-13,RJ,Brinquedos,206.8,10,10,False,4
216,2026-02-16,RJ,Eletrônicos,777.49,9,7,False,5
217,2026-01-17,BA,Livros,560.71,15,15,False,4
218,2026-06-21,MG,Roupas e Acessórios,76.1,10,10,False,5
219,2026-03-07,PE,Eletrônicos,640.35,16,16,False,4
220,2026-05-04,SP,Roupas e Acessórios,285.53,9,13,True,3
221,2026-06-01,RJ,Móveis,180.7,10,9,False,4
222,2026-03-03,SC,Eletrônicos,107.62,12,12,False,4
223,2026-06-08,BA,Roupas e Acessórios,409.13,15,14,False,5
224,2026-03-28,SP,Beleza e Cuidados Pessoais,190.09,9,9,False,5
225,2026-04-26,MG,Roupas e Acessórios,263.24,10,9,False,4
226,2026-03-17,SP,Roupas e Acessórios,832.79,9,8,False,5
227,2026-01-15,RS,Beleza e Cuidados Pessoais,338.25,13,13,False,4
228,2026-03-08,CE,Beleza e Cuidados Pessoais,629.81,15,18,True,3
229,2026-03-17,SP,Eletrônicos,714.96,9,7,False,4
230,2026-05-15,SP,Esporte e Lazer,723.91,9,9,False,4
231,2026-05-14,SC,Roupas e Acessórios,633.33,12,14,True,4
232,2026-03-12,SP,Roupas e Acessórios,97.88,9,9,False,4
233,2026-05-14,RJ,Eletrônicos,441.88,10,9,False,5
234,2026-01-04,RJ,Brinquedos,340.52,9,9,False,5
235,2026-02-11,PR,Papelaria,102.43,12,20,True,1
236,2026-04-02,PR,Esporte e Lazer,747.61,12,10,False,4
237,2026-05-07,RJ,Eletrônicos,543.36,10,10,False,4
238,2026-02-12,SP,Casa e Decoração,202.04,9,9,False,4
239,2026-01-05,BA,Papelaria,744.97,14,22,True,1
240,2026-02-15,SP,Móveis,756.97,9,8,False,4
241,2026-05-19,MG,Beleza e Cuidados Pessoais,59.9,9,7,False,5
242,2026-06-12,RJ,Livros,670.41,10,10,False,5
243,2026-03-28,RJ,Esporte e Lazer,701.11,10,8,False,5
244,2026-05-24,SP,Eletrodomésticos,554.32,8,7,False,4
245,2026-04-04,SP,Roupas e Acessórios,383.69,8,6,False,4
246,2026-04-12,SC,Brinquedos,258.95,12,12,False,4
247,2026-06-23,RS,Eletrodomésticos,463.85,14,16,True,4
248,2026-04-22,SP,Eletrônicos,817.06,9,7,False,4
249,2026-05-12,DF,Móveis,757.58,13,13,False,4
250,2026-04-15,MG,Casa e Decoração,536.01,10,15,True,2
251,2026-05-26,SP,Livros,429.67,8,7,False,5
252,2026-03-21,SP,Esporte e Lazer,788.97,8,7,False,5
253,2026-02-11,BA,Beleza e Cuidados Pessoais,282.88,14,13,False,5
254,2026-01-06,SP,Móveis,399.12,9,7,False,4
255,2026-01-28,MG,Roupas e Acessórios,729.24,10,10,False,5
256,2026-05-13,SP,Brinquedos,746.01,9,7,False,5
257,2026-01-02,RJ,Eletrodomésticos,269.84,10,8,False,4
258,2026-06-09,MG,Livros,359.5,11,10,False,5
259,2026-05-23,MG,Esporte e Lazer,477.18,9,8,False,4
260,2026-02-07,RJ,Livros,723.93,10,16,True,1
261,2026-03-04,PE,Beleza e Cuidados Pessoais,766.19,16,16,False,4
262,2026-03-18,GO,Casa e Decoração,391.2,13,11,False,5
263,2026-04-29,RJ,Papelaria,124.67,10,10,False,5
264,2026-04-06,MG,Eletrodomésticos,399.33,11,11,False,5
265,2026-06-09,DF,Papelaria,832.63,12,12,False,4
266,2026-03-21,MG,Móveis,759.96,11,10,False,5
267,2026-04-18,RS,Eletrodomésticos,93.44,13,11,False,5
268,2026-05-25,MG,Esporte e Lazer,679.05,10,8,False,4
269,2026-03-20,PR,Eletrodomésticos,203.3,10,10,False,5
270,2026-05-08,PR,Papelaria,204.83,11,9,False,4
271,2026-06-04,SP,Roupas e Acessórios,465.61,9,9,False,4
272,2026-04-30,MG,Eletrônicos,329.85,11,9,False,5
273,2026-02-13,SP,Móveis,355.45,10,10,False,4
274,2026-01-14,SP,Livros,224.43,9,8,False,4
275,2026-02-10,GO,Roupas e Acessórios,817.82,12,11,False,4
276,2026-05-07,CE,Móveis,365.87,16,14,False,4
277,2026-05-05,SP,Beleza e Cuidados Pessoais,279.01,8,7,False,5
278,2026-05-24,RJ,Esporte e Lazer,384.93,10,9,False,5
279,2026-03-31,MG,Livros,65.35,10,10,False,4
280,2026-02-09,SP,Roupas e Acessórios,684.93,8,8,False,5
281,2026-03-03,SP,Esporte e Lazer,810.51,8,6,False,5
282,2026-05-10,SP,Brinquedos,841.93,9,8,False,5
283,2026-05-17,SP,Papelaria,730.75,9,9,False,4
284,2026-04-09,SP,Papelaria,669.79,8,10,True,4
285,2026-03-01,SP,Móveis,623.57,8,6,False,4
286,2026-01-23,SP,Roupas e Acessórios,668.87,10,9,False,5
287,2026-06-10,BA,Roupas e Acessórios,579.21,15,21,True,2
288,2026-03-31,DF,Eletrônicos,774.37,13,13,False,5
289,2026-01-26,SP,Móveis,77.2,9,9,False,4
290,2026-02-11,RJ,Casa e Decoração,189.64,9,7,False,4
291,2026-02-28,MG,Eletrodomésticos,135.06,10,8,False,5
292,2026-06-17,SP,Eletrônicos,134.51,10,8,False,4
293,2026-03-23,SP,Esporte e Lazer,540.34,9,16,True,1
294,2026-02-26,SP,Móveis,639.58,9,8,False,5
295,2026-06-10,RS,Eletrodomésticos,671.49,12,11,False,5
296,2026-05-06,PR,Eletrônicos,825.38,12,10,False,4
297,2026-06-13,SP,Casa e Decoração,119.49,8,14,True,1
298,2026-06-12,SP,Roupas e Acessórios,459.88,9,8,False,4
299,2026-04-24,SP,Esporte e Lazer,313.53,9,7,False,4
300,2026-01-31,MG,Roupas e Acessórios,211.09,11,10,False,5
301,2026-06-26,SP,Esporte e Lazer,134.03,9,14,True,2
302,2026-03-21,RJ,Móveis,102.81,9,7,False,4
303,2026-01-03,RJ,Brinquedos,438.55,9,7,False,4
304,2026-04-22,RJ,Eletrodomésticos,797.88,9,9,False,5
305,2026-06-17,RS,Beleza e Cuidados Pessoais,283.53,12,12,False,5
306,2026-02-17,PE,Eletrodomésticos,294.83,16,16,False,4
307,2026-06-07,SP,Roupas e Acessórios,342.27,9,9,False,4
308,2026-03-06,SP,Eletrônicos,219.24,8,6,False,4
309,2026-04-19,RJ,Roupas e Acessórios,176.73,11,9,False,4
310,2026-04-24,RS,Livros,220.71,12,20,True,1
311,2026-04-06,SP,Papelaria,89.52,10,9,False,4
312,2026-04-18,DF,Móveis,283.07,12,12,False,5
313,2026-04-24,SC,Esporte e Lazer,826.89,12,10,False,4
314,2026-06-10,BA,Livros,575.04,15,15,False,5
315,2026-05-25,MG,Esporte e Lazer,555.17,10,9,False,5
316,2026-02-18,SP,Brinquedos,380.18,9,7,False,4
317,2026-05-16,SP,Brinquedos,648.63,9,9,False,5
318,2026-02-26,BA,Casa e Decoração,227.73,14,19,True,2
319,2026-04-28,SP,Papelaria,591.99,9,7,False,5
320,2026-04-23,SP,Eletrodomésticos,459.7,9,9,False,5
321,2026-04-28,BA,Livros,155.13,14,14,False,5
322,2026-06-08,SP,Beleza e Cuidados Pessoais,142.03,8,12,True,3
323,2026-02-04,RJ,Móveis,330.5,10,8,False,4
324,2026-04-04,PR,Esporte e Lazer,345.28,12,12,False,4
325,2026-05-15,PE,Brinquedos,530.46,14,14,False,4
326,2026-01-09,GO,Beleza e Cuidados Pessoais,840.93,12,20,True,1
327,2026-04-23,SP,Eletrônicos,491.17,9,14,True,2
328,2026-03-16,DF,Livros,695.59,13,12,False,5
329,2026-04-24,SP,Esporte e Lazer,73.54,10,9,False,5
330,2026-02-16,RS,Papelaria,229.51,13,13,False,5
331,2026-06-06,MG,Esporte e Lazer,181.63,10,10,False,4
332,2026-04-03,PR,Esporte e Lazer,434.17,12,11,False,4
333,2026-02-28,SP,Brinquedos,264.5,10,8,False,4
334,2026-03-11,SP,Casa e Decoração,72.46,9,7,False,5
335,2026-05-24,DF,Móveis,682.48,13,11,False,4
336,2026-03-02,DF,Roupas e Acessórios,556.34,13,12,False,5
337,2026-03-31,DF,Livros,432.58,12,10,False,5
338,2026-04-05,DF,Beleza e Cuidados Pessoais,746.14,14,18,True,2
339,2026-04-27,RJ,Livros,624.48,10,10,False,4
340,2026-03-06,PR,Eletrodomésticos,109.43,12,12,False,5
341,2026-02-15,SP,Esporte e Lazer,99.54,10,8,False,5
342,2026-05-05,SP,Roupas e Acessórios,235.71,9,9,False,5
343,2026-01-06,SP,Livros,203.35,9,8,False,5
344,2026-01-15,PE,Papelaria,49.07,14,20,True,2
345,2026-03-11,MG,Eletrônicos,66.8,10,10,False,5
346,2026-05-05,RJ,Esporte e Lazer,669.65,9,9,False,4
347,2026-06-03,RJ,Brinquedos,839.96,11,17,True,1
348,2026-01-15,RJ,Esporte e Lazer,662.59,9,13,True,2
349,2026-01-24,RJ,Esporte e Lazer,835.02,10,8,False,5
350,2026-05-28,SP,Papelaria,666.95,9,9,False,5
351,2026-06-30,RJ,Casa e Decoração,427.99,10,9,False,4
352,2026-06-17,SC,Esporte e Lazer,67.5,12,11,False,4
353,2026-02-04,SP,Eletrodomésticos,638.77,9,9,False,4
354,2026-02-15,DF,Roupas e Acessórios,446.64,13,11,False,5
355,2026-06-12,GO,Livros,97.68,13,13,False,4
356,2026-06-15,GO,Esporte e Lazer,573.92,12,11,False,5
357,2026-02-27,SP,Eletrônicos,387.62,9,9,False,4
358,2026-03-13,SP,Brinquedos,664.21,8,8,False,5
359,2026-02-04,BA,Casa e Decoração,594.63,13,17,True,2
360,2026-06-02,PE,Beleza e Cuidados Pessoais,82.18,16,16,False,5
361,2026-04-23,SP,Roupas e Acessórios,779.72,10,10,False,4
362,2026-02-04,GO,Roupas e Acessórios,378.43,13,13,False,4
363,2026-06-14,GO,Livros,550.01,13,13,False,4
364,2026-01-04,SP,Eletrodomésticos,842.58,9,7,False,4
365,2026-03-23,SP,Móveis,225.25,8,8,False,4
366,2026-05-19,SP,Eletrodomésticos,107.25,9,8,False,5
367,2026-02-25,BA,Beleza e Cuidados Pessoais,822.89,15,15,False,4
368,2026-02-20,MG,Livros,570.76,11,10,False,4
369,2026-05-20,SP,Esporte e Lazer,301.2,9,7,False,5
370,2026-04-18,RJ,Roupas e Acessórios,556.16,10,9,False,5
371,2026-03-03,MG,Casa e Decoração,114.88,11,11,False,5
372,2026-06-08,SC,Eletrônicos,299.07,12,10,False,5
373,2026-05-28,SP,Brinquedos,643.36,9,8,False,4
374,2026-04-07,RJ,Móveis,102.96,10,8,False,5
375,2026-05-20,RS,Papelaria,519.54,14,13,False,5
376,2026-05-27,SP,Roupas e Acessórios,699.75,8,7,False,5
377,2026-03-03,RS,Roupas e Acessórios,569.93,14,12,False,5
378,2026-01-12,SP,Esporte e Lazer,346.99,10,10,False,5
379,2026-04-04,RJ,Eletrodomésticos,404.19,10,10,False,4
380,2026-01-29,RJ,Brinquedos,340.37,10,8,False,4
381,2026-05-14,RS,Papelaria,45.65,13,12,False,4
382,2026-03-08,SP,Roupas e Acessórios,397.64,9,8,False,4
383,2026-05-15,RS,Móveis,80.34,12,11,False,4
384,2026-04-24,RJ,Eletrônicos,251.72,10,9,False,5
385,2026-03-03,RJ,Papelaria,208.52,9,7,False,4
386,2026-01-19,SP,Brinquedos,682.27,9,8,False,5
387,2026-01-28,MG,Brinquedos,761.73,11,10,False,4
388,2026-04-23,RJ,Roupas e Acessórios,481.04,10,8,False,4
389,2026-06-24,SP,Esporte e Lazer,504.68,10,10,False,4
390,2026-01-04,SP,Móveis,617.4,10,9,False,4
391,2026-05-04,BA,Eletrodomésticos,85.33,15,13,False,4
392,2026-06-10,SP,Esporte e Lazer,256.19,8,8,False,5
393,2026-03-22,RJ,Casa e Decoração,245.06,10,9,False,4
394,2026-04-08,SC,Eletrodomésticos,795.62,12,12,False,4
395,2026-06-18,RJ,Papelaria,492.68,9,8,False,5
396,2026-01-14,PR,Eletrônicos,221.85,11,9,False,4
397,2026-04-23,SP,Beleza e Cuidados Pessoais,209.11,10,9,False,5
398,2026-02-22,SP,Livros,525.01,10,10,False,4
399,2026-02-16,SP,Eletrodomésticos,282.39,9,9,False,5
400,2026-02-24,MG,Roupas e Acessórios,207.31,9,9,False,4
401,2026-01-24,PE,Livros,169.64,15,13,False,5
402,2026-01-15,GO,Roupas e Acessórios,686.75,12,11,False,5
403,2026-06-30,MG,Roupas e Acessórios,688.49,10,8,False,4
404,2026-03-01,RJ,Eletrônicos,120.34,9,8,False,4
405,2026-04-29,SP,Roupas e Acessórios,574.28,9,9,False,4
406,2026-02-23,CE,Eletrodomésticos,674.07,16,22,True,1
407,2026-01-24,SP,Casa e Decoração,423.72,10,8,False,4
408,2026-02-28,MG,Casa e Decoração,573.51,9,9,False,5
409,2026-01-13,SP,Esporte e Lazer,714.78,9,7,False,4
410,2026-01-18,PR,Brinquedos,72.15,11,11,False,5
411,2026-05-12,MG,Livros,630.74,10,16,True,1
412,2026-02-11,RJ,Móveis,130.76,9,8,False,4
413,2026-03-03,SP,Brinquedos,476.05,9,8,False,4
414,2026-05-10,SP,Beleza e Cuidados Pessoais,475.51,9,9,False,5
415,2026-03-03,DF,Eletrônicos,229.56,12,16,True,3
416,2026-02-13,SP,Casa e Decoração,761.86,10,8,False,4
417,2026-01-22,RS,Beleza e Cuidados Pessoais,242.83,12,10,False,4
418,2026-06-03,SP,Móveis,112.62,8,6,False,4
419,2026-04-29,MG,Roupas e Acessórios,679.83,9,8,False,4
420,2026-02-07,PR,Roupas e Acessórios,597.26,11,11,False,5
